states,year,quarter,district,trans_counts,amount,registered_user_counts,level
andhra-pradesh,2022,2,guntur,66315749.0,147098141568.7622,2514794.0,district_top
andhra-pradesh,2022,2,east godavari,62072845.0,135531452997.63911,2564165.0,district_top
andhra-pradesh,2022,2,spsr nellore,54838708.0,121941082043.4948,1509927.0,district_top
andhra-pradesh,2022,2,anantapur,46099366.0,102138758015.7691,1928213.0,district_top
andhra-pradesh,2022,2,west godavari,44409239.0,107973244960.4282,1714357.0,district_top
andhra-pradesh,2022,2,kurnool,40165692.0,92409350855.502,1825280.0,district_top
andhra-pradesh,2022,2,prakasam,36163507.0,90435082545.97768,1487589.0,district_top
andhra-pradesh,2022,3,visakhapatnam,97434546.0,181124419863.6144,3397514.0,district_top
andhra-pradesh,2022,3,krishna,71051144.0,153770559025.69122,2685215.0,district_top
andhra-pradesh,2022,3,chittoor,65751781.0,133053581631.6394,2517657.0,district_top
andhra-pradesh,2022,3,guntur,65612317.0,141588522953.2377,2647100.0,district_top
andhra-pradesh,2022,3,east godavari,61467134.0,129677722169.7482,2702234.0,district_top
andhra-pradesh,2022,3,anantapur,45165363.0,97735649608.10074,2030824.0,district_top
andhra-pradesh,2022,3,west godavari,43635951.0,101706854744.31873,1805967.0,district_top
andhra-pradesh,2022,3,spsr nellore,42116582.0,95099325968.25977,1588875.0,district_top
andhra-pradesh,2022,3,kurnool,39557913.0,88415335176.31995,1924127.0,district_top
andhra-pradesh,2022,3,prakasam,35376080.0,87475230073.46388,1567520.0,district_top
andhra-pradesh,2022,4,visakhapatnam,103790055.0,185306149744.73105,3566854.0,district_top
andhra-pradesh,2022,4,krishna,76526667.0,157826011193.3544,2813645.0,district_top
andhra-pradesh,2022,4,guntur,70723763.0,146938735166.5236,2774365.0,district_top
andhra-pradesh,2022,4,chittoor,70322534.0,136840859888.1815,2636036.0,district_top
andhra-pradesh,2022,4,east godavari,68016055.0,136531110139.8625,2835087.0,district_top
andhra-pradesh,2022,4,anantapur,48299601.0,101533878537.2343,2128066.0,district_top
andhra-pradesh,2022,4,west godavari,47919930.0,105335724990.5932,1893310.0,district_top
andhra-pradesh,2022,4,kurnool,43524766.0,94667441029.08344,2018290.0,district_top
andhra-pradesh,2022,4,spsr nellore,42582064.0,92085916180.68507,1663684.0,district_top
andhra-pradesh,2022,4,prakasam,37211077.0,88105031866.36835,1642503.0,district_top
arunachal-pradesh,2018,1,papum pare,14224.0,32555848.46233147,7649.0,district_top
arunachal-pradesh,2018,1,west kameng,5787.0,9540632.547015157,2202.0,district_top
arunachal-pradesh,2018,1,lohit,3747.0,11496949.54576835,1207.0,district_top
arunachal-pradesh,2018,1,east siang,3286.0,5533620.186295529,1803.0,district_top
arunachal-pradesh,2018,1,changlang,3195.0,5380749.415278763,1208.0,district_top
arunachal-pradesh,2018,1,tawang,2334.0,5055665.022950603,1525.0,district_top
arunachal-pradesh,2018,1,longding,2321.0,4361531.578447229,,district_top
arunachal-pradesh,2018,1,west siang,1887.0,4796675.565399804,846.0,district_top
